time_s,O2_nmol_per_ml,event
210.0,172.62943255527338,start
210.95744680851064,172.56490110267762,
211.91489361702128,172.75793963952998,
212.87234042553192,172.62395292187745,
213.82978723404256,172.4636916301123,
214.7872340425532,172.68787571836538,
215.74468085106383,172.92333152444752,
216.70212765957447,172.8339425360447,
217.6595744680851,172.42106511802552,
218.61702127659575,172.28045565186991,
219.5744680851064,172.44078955622575,
220.53191489361703,172.60672146462605,
221.48936170212767,172.01489829148318,
222.4468085106383,172.54120785375292,
223.40425531914894,172.28416110585368,
224.36170212765958,172.41228782107402,
225.31914893617022,172.4589877823787,
226.27659574468086,172.51565624462955,
227.2340425531915,172.69729450623677,
228.19148936170214,172.85131747504954,
229.14893617021278,172.53738546906828,
230.10638297872342,172.8737259223962,
231.06382978723406,172.31422871003917,
232.02127659574467,172.50465442083242,
232.97872340425533,172.56874563344485,
233.93617021276594,172.28426481104125,
234.8936170212766,171.9862919540333,
235.85106382978722,171.84814645461725,
236.8085106382979,171.86677684409875,
237.7659574468085,171.93606776962392,
238.72340425531914,171.52634339073248,
239.68085106382978,171.62265953377974,
240.63829787234042,171.53024425783002,
241.59574468085106,171.59955586939387,
242.5531914893617,171.4117238581859,
243.51063829787233,171.3401998172599,
244.46808510638297,170.98089689437464,
245.4255319148936,171.00473256829346,
246.38297872340425,171.12575739430932,
247.3404255319149,171.1956381466964,
248.29787234042553,170.3999513486499,
249.25531914893617,170.985579055046,
250.2127659574468,170.8359066127036,
251.17021276595744,170.58707618503217,
252.12765957446808,170.35015202938845,
253.08510638297872,170.0978322740188,
254.04255319148936,170.43308225913466,
255.0,170.45089807186733,
255.95744680851064,170.3034930896701,
256.9148936170213,170.07410732180495,
257.8723404255319,169.7269207144641,
258.82978723404256,169.2277381778947,
259.7872340425532,169.42094507041523,
260.74468085106383,169.47841705007724,
261.70212765957444,168.88444686988083,
262.6595744680851,169.1975560621931,
263.6170212765958,169.09847948522014,
264.5744680851064,169.0572619801253,
265.531914893617,168.4794594769954,
266.48936170212767,168.50230087621998,
267.4468085106383,168.45085515264176,
268.40425531914894,168.1597508395033,
269.36170212765956,168.77928050389437,
270.3191489361702,168.1126979872891,
271.27659574468083,168.21115518018266,
272.2340425531915,167.95650671192757,
273.1914893617021,168.30925519453606,
274.1489361702128,168.13571436471568,
275.1063829787234,167.8561994270371,
276.06382978723406,167.0392209975141,
277.02127659574467,167.49534288385217,
277.97872340425533,167.54549430577617,
278.93617021276594,167.51780027495445,
279.8936170212766,167.00457020667554,
280.8510638297872,167.50678685276557,
281.8085106382979,166.61341330873168,
282.7659574468085,166.67037610405438,
283.72340425531917,166.96175767286167,
284.6808510638298,166.63249590122405,
285.63829787234044,167.0130674795344,
286.59574468085106,166.4518362176066,
287.5531914893617,166.13864498278582,
288.51063829787233,166.09478971488105,
289.468085106383,165.80863114763983,
290.4255319148936,165.65423472130337,
291.3829787234043,166.02349472144746,
292.3404255319149,165.903420387714,
293.29787234042556,165.97400572532646,
294.25531914893617,165.3539516585066,
295.21276595744683,165.85711705534462,
296.17021276595744,165.25523035307566,
297.1276595744681,165.61291643753307,
298.0851063829787,165.0033549939332,
299.04255319148933,164.81991772103774,
300.0,164.95847197577504,oligomycin
300.37735849056605,165.11349896835375,
300.75471698113205,164.85916719448642,
301.1320754716981,164.63886905070166,
301.50943396226415,164.4188664051,
301.8867924528302,164.37491608625592,
302.2641509433962,164.82398960042244,
302.64150943396226,164.92041517751514,
303.0188679245283,164.6080155921899,
303.39622641509436,164.35785714842973,
303.77358490566036,164.82317367326877,
304.1509433962264,164.2642551924669,
304.52830188679246,164.3863908514568,
304.9056603773585,164.70098287255627,
305.2830188679245,163.96494503850516,
305.66037735849056,164.60643142725067,
306.0377358490566,164.3473285572525,
306.41509433962267,164.5034414641727,
306.79245283018867,164.44101064621773,
307.1698113207547,164.49466529103955,
307.54716981132077,164.60222601871712,
307.92452830188677,164.22394653072044,
308.3018867924528,164.75391781193701,
308.6792452830189,164.5655777168017,
309.0566037735849,164.58059233402665,
309.4339622641509,164.6466800310635,
309.811320754717,164.53834536691267,
310.188679245283,164.5386132484289,
310.5660377358491,164.33278173543124,
310.9433962264151,163.94360930547322,
311.3207547169811,164.25307735817069,
311.6981132075472,164.08110032248945,
312.07547169811323,163.90452771284242,
312.45283018867923,164.31164476115183,
312.8301886792453,164.09178824072356,
313.20754716981133,163.9634364622566,
313.58490566037733,163.9471602609142,
313.9622641509434,164.26209253183686,
314.33962264150944,164.27178318556514,
314.7169811320755,164.4999006665521,
315.0943396226415,164.15301841553836,
315.47169811320754,164.40420341888603,
315.8490566037736,164.48158808110685,
316.22641509433964,164.40587040265896,
316.60377358490564,163.5143359418438,
316.9811320754717,164.40018894657453,
317.35849056603774,164.16529993059174,
317.7358490566038,164.17373337607276,
318.1132075471698,164.14800978805826,
318.49056603773585,164.13831971040108,
318.8679245283019,164.109924998531,
319.24528301886795,163.92779631090178,
