time_s,O2_nmol_per_ml,event
210.0,171.37433255527333,start
211.34328358208955,171.3087730049522,
212.6865671641791,171.50071227899707,
214.02985074626866,171.36554676119337,
215.37313432835822,171.2040263808697,
216.71641791044777,171.42687032493336,
218.05970149253733,171.66090407675858,
219.40298507462686,171.57001017807295,
220.7462686567164,171.15554396695825,
222.08955223880596,171.01326071270933,
223.43283582089552,171.17183463425286,
224.77611940298507,171.3359190625767,
226.11940298507463,170.74215947589732,
227.46268656716418,171.26644205286797,
228.80597014925374,171.0072757704689,
230.1492537313433,171.1331877753098,
231.49253731343285,171.17757375304467,
232.83582089552237,171.2318204859005,
234.17910447761193,171.41089864496382,
235.52238805970148,171.54740631726523,
236.86567164179104,171.1200789145684,
238.2089552238806,171.33181381855883,
239.55223880597015,170.65857271189748,
240.8955223880597,170.7470263485025,
242.23880597014926,170.71924654828248,
243.5820895522388,170.3511065667507,
244.92537313432837,169.97595250008177,
246.26865671641792,169.7656197101797,
247.61194029850748,169.7158433301438,
248.95522388059703,169.71954729774077,
250.2985074626866,169.2463177017395,
251.6417910447761,169.28065208465716,
252.98507462686567,169.12736345664737,
254.32835820895522,169.13660483604835,
255.67164179104478,168.8892819512544,
257.01492537313436,168.7586840788469,
258.35820895522386,168.34060748052397,
259.7014925373134,168.305884955747,
261.04477611940297,168.36850596297717,
262.3880597014925,168.38009361305865,
263.7313432835821,167.52619317501905,
265.07462686567163,168.0536642335295,
266.4179104477612,167.8458758782598,
267.76119402985074,167.5389586049588,
269.1044776119403,167.24396839483543,
270.44776119402985,166.93359751608847,
271.7910447761194,167.21080712307628,
273.13432835820896,167.17059026377402,
274.4776119402985,166.96515813459752,
275.82089552238807,166.67774909078403,
277.1641791044776,166.27254198473463,
278.5074626865672,165.71534095646882,
279.85074626865674,165.8505308137288,
281.1940298507463,165.84998681324737,
282.53731343283584,165.19800144601038,
283.8805970149254,165.45309605946272,
285.22388059701495,165.2960052007579,
286.56716417910445,165.19677369081535,
287.91044776119406,164.56095725090762,
289.25373134328356,164.52578483235942,
290.5970149253732,164.416325396605,
291.94029850746267,164.06720746452177,
293.2835820895522,164.62872364382164,
294.6268656716418,163.90412772551872,
295.97014925373134,163.94457154822064,
297.3134328358209,163.63190973775065,
298.65671641791045,163.92664482719832,
300.0,163.6950905876559,oligomycin
300.5247813411079,163.47366205047672,
301.04956268221576,162.73211230053175,
301.5743440233236,163.27052963819497,
302.0991253644315,163.40555132881727,
302.62390670553935,163.46365402773492,
303.14868804664724,163.03654735973817,
303.6734693877551,163.6250016556664,
304.19825072886294,162.8179055822088,
304.7230320699708,162.96115970024752,
305.2478134110787,163.33883740563627,
305.7725947521866,163.09587344965175,
306.2973760932945,163.56274341219375,
306.82215743440236,163.08781073559012,
307.3469387755102,162.86091816232658,
307.87172011661806,162.90336158026025,
308.39650145772595,162.70350170245845,
308.92128279883383,162.63540397027333,
309.4460641399417,163.0909626684451,
309.97084548104954,163.05718703434104,
310.4956268221574,163.21407106978697,
311.0204081632653,162.6803156981333,
311.5451895043732,163.26977979075048,
312.06997084548107,162.75419178396018,
312.59475218658895,163.19817656498952,
313.1195335276968,162.67491381779806,
313.64431486880466,162.57777524168935,
314.16909620991254,162.80262819320384,
314.6938775510204,162.97658090489912,
315.2186588921283,162.7375058106381,
315.74344023323613,162.5294069936048,
316.268221574344,162.319020053656,
316.7930029154519,162.2824807107587,
317.3177842565598,162.7370672595306,
317.84256559766766,162.83736058859785,
318.3673469387755,162.5273944656378,
318.89212827988337,162.2784126827598,
319.41690962099125,162.74380021930511,
319.94169096209913,162.18397697895983,
320.466472303207,162.30434422531775,
320.99125364431484,162.61640149623076,
321.5160349854227,161.87714752347068,
322.0408163265306,162.51481100057086,
322.5655976676385,162.25134417626484,
323.09037900874637,162.40261009363903,
323.61516034985425,162.33490057114565,
324.1399416909621,162.38289033435208,
324.66472303206996,162.48444050340623,
325.18950437317784,162.09984086507927,
325.7142857142857,162.62321459189357,
326.2390670553936,162.4280283170058,
326.76384839650143,162.43597381874676,
327.2886297376093,162.49479243185453,
327.8134110787172,162.3790092754519,
328.3381924198251,162.3716676736694,
328.86297376093296,162.15808218979453,
329.38775510204084,161.7610261080687,
329.91253644314867,162.06249407965774,
330.43731778425655,161.88241247833272,
330.96209912536443,161.69764147998728,
331.4868804664723,162.09647590360711,
332.01166180758014,161.8682611261202,
332.536443148688,161.73148316393835,
333.0612244897959,161.70671978721936,
333.5860058309038,162.01311011097127,
334.11078717201167,162.01420961213466,
334.63556851311955,162.23369177606224,
335.16034985422743,161.87813452523608,
335.68513119533526,162.12060891588712,
336.20991253644314,162.18925096673334,
336.734693877551,162.10476195304446,
337.2594752186589,161.20443035140792,
337.78425655976673,162.08146304174366,
338.3090379008746,161.8377328979575,
338.8338192419825,161.83730651803862,
339.3586005830904,161.8027063181565,
339.88338192419826,161.78412453764346,
340.40816326530614,161.74682458643656,
340.93294460641397,161.55577848796818,
341.45772594752185,161.1486337741565,
341.98250728862973,161.57534970032538,
342.5072886297376,161.38018120362835,
343.0320699708455,161.82969080272824,
343.5568513119533,161.46599410693054,
344.0816326530612,161.537590356292,
344.6064139941691,161.2828558121986,
345.13119533527697,161.3461374679623,
345.65597667638485,161.44944560335054,
346.18075801749274,161.05952085654118,
346.70553935860056,161.484571715015,
347.23032069970844,161.36141815691292,
347.7551020408163,161.07004205285628,
