time_s,oxygen_nmol_ml,chamber,source_column,dataset,event
210.0,163.8929939495356,B,O2 conc.B [nmol/mL],dataset_III,start
210.9574468085106,164.1883704188365,B,O2 conc.B [nmol/mL],dataset_III,
211.9148936170213,164.6026227958108,B,O2 conc.B [nmol/mL],dataset_III,
212.8723404255319,164.2893215911411,B,O2 conc.B [nmol/mL],dataset_III,
213.8297872340426,164.2661544143391,B,O2 conc.B [nmol/mL],dataset_III,
214.7872340425532,164.6259902114369,B,O2 conc.B [nmol/mL],dataset_III,
215.7446808510638,164.7465906473479,B,O2 conc.B [nmol/mL],dataset_III,
216.7021276595745,164.8466340126795,B,O2 conc.B [nmol/mL],dataset_III,
217.6595744680851,163.9981956007966,B,O2 conc.B [nmol/mL],dataset_III,
218.6170212765958,163.6878856158151,B,O2 conc.B [nmol/mL],dataset_III,
219.5744680851064,164.5864448008953,B,O2 conc.B [nmol/mL],dataset_III,
220.531914893617,164.7362058678708,B,O2 conc.B [nmol/mL],dataset_III,
221.4893617021277,163.9152357738978,B,O2 conc.B [nmol/mL],dataset_III,
222.4468085106383,164.5909344828394,B,O2 conc.B [nmol/mL],dataset_III,
223.4042553191489,164.1642487152023,B,O2 conc.B [nmol/mL],dataset_III,
224.3617021276596,164.2528117456534,B,O2 conc.B [nmol/mL],dataset_III,
225.3191489361702,164.376517610006,B,O2 conc.B [nmol/mL],dataset_III,
226.2765957446809,164.6210221235266,B,O2 conc.B [nmol/mL],dataset_III,
227.2340425531915,164.3302725187181,B,O2 conc.B [nmol/mL],dataset_III,
228.1914893617021,164.4689270163223,B,O2 conc.B [nmol/mL],dataset_III,
229.1489361702128,164.6702479468137,B,O2 conc.B [nmol/mL],dataset_III,
230.1063829787234,164.892231636868,B,O2 conc.B [nmol/mL],dataset_III,
231.0638297872341,164.3157477702031,B,O2 conc.B [nmol/mL],dataset_III,
232.0212765957447,164.1532501821652,B,O2 conc.B [nmol/mL],dataset_III,
232.9787234042553,164.4198181579467,B,O2 conc.B [nmol/mL],dataset_III,
233.9361702127659,163.8842883019815,B,O2 conc.B [nmol/mL],dataset_III,
234.8936170212766,164.43466599012,B,O2 conc.B [nmol/mL],dataset_III,
235.8510638297872,163.753787519243,B,O2 conc.B [nmol/mL],dataset_III,
236.8085106382979,163.4889321418216,B,O2 conc.B [nmol/mL],dataset_III,
237.7659574468085,164.2198504459932,B,O2 conc.B [nmol/mL],dataset_III,
238.7234042553191,163.3814776621862,B,O2 conc.B [nmol/mL],dataset_III,
239.6808510638298,163.392243026552,B,O2 conc.B [nmol/mL],dataset_III,
240.6382978723404,163.3683840143519,B,O2 conc.B [nmol/mL],dataset_III,
241.5957446808511,163.252323108049,B,O2 conc.B [nmol/mL],dataset_III,
242.5531914893617,163.3967644853438,B,O2 conc.B [nmol/mL],dataset_III,
243.5106382978723,163.4930321782023,B,O2 conc.B [nmol/mL],dataset_III,
244.468085106383,162.7299287721566,B,O2 conc.B [nmol/mL],dataset_III,
245.4255319148936,162.6938269500336,B,O2 conc.B [nmol/mL],dataset_III,
246.3829787234042,162.9966522297663,B,O2 conc.B [nmol/mL],dataset_III,
247.3404255319149,163.678113736654,B,O2 conc.B [nmol/mL],dataset_III,
248.2978723404255,162.2240240370277,B,O2 conc.B [nmol/mL],dataset_III,
249.2553191489362,163.1251148917302,B,O2 conc.B [nmol/mL],dataset_III,
250.2127659574468,162.6621157267033,B,O2 conc.B [nmol/mL],dataset_III,
251.1702127659574,162.3277800849662,B,O2 conc.B [nmol/mL],dataset_III,
252.1276595744681,161.9720454247318,B,O2 conc.B [nmol/mL],dataset_III,
253.0851063829787,161.8724669058489,B,O2 conc.B [nmol/mL],dataset_III,
254.0425531914894,162.3660844508937,B,O2 conc.B [nmol/mL],dataset_III,
255.0,162.3753839788939,B,O2 conc.B [nmol/mL],dataset_III,
255.9574468085106,162.907361053494,B,O2 conc.B [nmol/mL],dataset_III,
256.9148936170213,161.8937457216532,B,O2 conc.B [nmol/mL],dataset_III,
257.8723404255319,161.8660715305109,B,O2 conc.B [nmol/mL],dataset_III,
258.8297872340426,161.6047556231658,B,O2 conc.B [nmol/mL],dataset_III,
259.7872340425532,161.5385702633469,B,O2 conc.B [nmol/mL],dataset_III,
260.7446808510638,162.0427729971737,B,O2 conc.B [nmol/mL],dataset_III,
261.7021276595744,160.8231682112455,B,O2 conc.B [nmol/mL],dataset_III,
262.6595744680851,161.2223492900453,B,O2 conc.B [nmol/mL],dataset_III,
263.6170212765958,161.3627113833946,B,O2 conc.B [nmol/mL],dataset_III,
264.5744680851064,161.3744867599721,B,O2 conc.B [nmol/mL],dataset_III,
265.531914893617,160.7457468096036,B,O2 conc.B [nmol/mL],dataset_III,
266.4893617021277,160.6951317543045,B,O2 conc.B [nmol/mL],dataset_III,
267.4468085106383,160.5811081917022,B,O2 conc.B [nmol/mL],dataset_III,
268.4042553191489,159.7420477424216,B,O2 conc.B [nmol/mL],dataset_III,
269.3617021276596,161.0280621216278,B,O2 conc.B [nmol/mL],dataset_III,
270.3191489361702,160.5183280207304,B,O2 conc.B [nmol/mL],dataset_III,
