time_s,oxygen_nmol_ml,chamber,source_column,dataset,event
210.0,171.3743325552733,A,O2 conc.A [nmol/mL],dataset_II,start
211.3432835820896,171.3087730049522,A,O2 conc.A [nmol/mL],dataset_II,
212.6865671641791,171.5007122789971,A,O2 conc.A [nmol/mL],dataset_II,
214.0298507462687,171.3655467611934,A,O2 conc.A [nmol/mL],dataset_II,
215.3731343283582,171.2040263808697,A,O2 conc.A [nmol/mL],dataset_II,
216.7164179104478,171.4268703249334,A,O2 conc.A [nmol/mL],dataset_II,
218.0597014925373,171.6609040767586,A,O2 conc.A [nmol/mL],dataset_II,
219.4029850746269,171.5700101780729,A,O2 conc.A [nmol/mL],dataset_II,
220.7462686567164,171.1555439669582,A,O2 conc.A [nmol/mL],dataset_II,
222.089552238806,171.0132607127093,A,O2 conc.A [nmol/mL],dataset_II,
223.4328358208955,171.1718346342529,A,O2 conc.A [nmol/mL],dataset_II,
224.7761194029851,171.3359190625767,A,O2 conc.A [nmol/mL],dataset_II,
226.1194029850746,170.7421594758973,A,O2 conc.A [nmol/mL],dataset_II,
227.4626865671642,171.266442052868,A,O2 conc.A [nmol/mL],dataset_II,
228.8059701492537,171.0072757704689,A,O2 conc.A [nmol/mL],dataset_II,
230.1492537313433,171.1331877753098,A,O2 conc.A [nmol/mL],dataset_II,
231.4925373134328,171.1775737530447,A,O2 conc.A [nmol/mL],dataset_II,
232.8358208955224,171.2318204859005,A,O2 conc.A [nmol/mL],dataset_II,
234.1791044776119,171.4108986449638,A,O2 conc.A [nmol/mL],dataset_II,
235.5223880597015,171.5474063172652,A,O2 conc.A [nmol/mL],dataset_II,
236.865671641791,171.1200789145684,A,O2 conc.A [nmol/mL],dataset_II,
238.2089552238806,171.3318138185588,A,O2 conc.A [nmol/mL],dataset_II,
239.5522388059701,170.6585727118975,A,O2 conc.A [nmol/mL],dataset_II,
240.8955223880597,170.7470263485025,A,O2 conc.A [nmol/mL],dataset_II,
242.2388059701493,170.7192465482825,A,O2 conc.A [nmol/mL],dataset_II,
243.5820895522388,170.3511065667507,A,O2 conc.A [nmol/mL],dataset_II,
244.9253731343284,169.9759525000818,A,O2 conc.A [nmol/mL],dataset_II,
246.2686567164179,169.7656197101797,A,O2 conc.A [nmol/mL],dataset_II,
247.6119402985075,169.7158433301438,A,O2 conc.A [nmol/mL],dataset_II,
248.955223880597,169.7195472977408,A,O2 conc.A [nmol/mL],dataset_II,
250.2985074626866,169.2463177017395,A,O2 conc.A [nmol/mL],dataset_II,
251.6417910447761,169.2806520846572,A,O2 conc.A [nmol/mL],dataset_II,
252.9850746268657,169.1273634566474,A,O2 conc.A [nmol/mL],dataset_II,
254.3283582089552,169.1366048360483,A,O2 conc.A [nmol/mL],dataset_II,
255.6716417910448,168.8892819512544,A,O2 conc.A [nmol/mL],dataset_II,
257.0149253731344,168.7586840788469,A,O2 conc.A [nmol/mL],dataset_II,
258.3582089552239,168.340607480524,A,O2 conc.A [nmol/mL],dataset_II,
259.7014925373134,168.305884955747,A,O2 conc.A [nmol/mL],dataset_II,
261.044776119403,168.3685059629772,A,O2 conc.A [nmol/mL],dataset_II,
262.3880597014925,168.3800936130586,A,O2 conc.A [nmol/mL],dataset_II,
263.7313432835821,167.526193175019,A,O2 conc.A [nmol/mL],dataset_II,
265.0746268656716,168.0536642335295,A,O2 conc.A [nmol/mL],dataset_II,
266.4179104477612,167.8458758782598,A,O2 conc.A [nmol/mL],dataset_II,
267.7611940298507,167.5389586049588,A,O2 conc.A [nmol/mL],dataset_II,
269.1044776119403,167.2439683948354,A,O2 conc.A [nmol/mL],dataset_II,
270.4477611940299,166.9335975160885,A,O2 conc.A [nmol/mL],dataset_II,
271.7910447761194,167.2108071230763,A,O2 conc.A [nmol/mL],dataset_II,
273.134328358209,167.170590263774,A,O2 conc.A [nmol/mL],dataset_II,
274.4776119402985,166.9651581345975,A,O2 conc.A [nmol/mL],dataset_II,
275.8208955223881,166.677749090784,A,O2 conc.A [nmol/mL],dataset_II,
277.1641791044776,166.2725419847346,A,O2 conc.A [nmol/mL],dataset_II,
278.5074626865672,165.7153409564688,A,O2 conc.A [nmol/mL],dataset_II,
279.8507462686567,165.8505308137288,A,O2 conc.A [nmol/mL],dataset_II,
281.1940298507463,165.8499868132474,A,O2 conc.A [nmol/mL],dataset_II,
282.5373134328358,165.1980014460104,A,O2 conc.A [nmol/mL],dataset_II,
283.8805970149254,165.4530960594627,A,O2 conc.A [nmol/mL],dataset_II,
285.223880597015,165.2960052007579,A,O2 conc.A [nmol/mL],dataset_II,
286.5671641791045,165.1967736908153,A,O2 conc.A [nmol/mL],dataset_II,
287.9104477611941,164.5609572509076,A,O2 conc.A [nmol/mL],dataset_II,
289.2537313432836,164.5257848323594,A,O2 conc.A [nmol/mL],dataset_II,
290.5970149253732,164.416325396605,A,O2 conc.A [nmol/mL],dataset_II,
291.9402985074627,164.0672074645218,A,O2 conc.A [nmol/mL],dataset_II,
293.2835820895522,164.6287236438216,A,O2 conc.A [nmol/mL],dataset_II,
294.6268656716418,163.9041277255187,A,O2 conc.A [nmol/mL],dataset_II,
295.9701492537313,163.9445715482206,A,O2 conc.A [nmol/mL],dataset_II,
297.3134328358209,163.6319097377506,A,O2 conc.A [nmol/mL],dataset_II,
298.6567164179104,163.9266448271983,A,O2 conc.A [nmol/mL],dataset_II,
