time_s,oxygen_nmol_ml,chamber,source_column,dataset,event
210.0,172.6294325552734,A,O2 conc.A [nmol/mL],dataset_III,start
210.9574468085106,172.5649011026776,A,O2 conc.A [nmol/mL],dataset_III,
211.9148936170213,172.75793963953,A,O2 conc.A [nmol/mL],dataset_III,
212.8723404255319,172.6239529218774,A,O2 conc.A [nmol/mL],dataset_III,
213.8297872340426,172.4636916301123,A,O2 conc.A [nmol/mL],dataset_III,
214.7872340425532,172.6878757183654,A,O2 conc.A [nmol/mL],dataset_III,
215.7446808510638,172.9233315244475,A,O2 conc.A [nmol/mL],dataset_III,
216.7021276595745,172.8339425360447,A,O2 conc.A [nmol/mL],dataset_III,
217.6595744680851,172.4210651180255,A,O2 conc.A [nmol/mL],dataset_III,
218.6170212765958,172.2804556518699,A,O2 conc.A [nmol/mL],dataset_III,
219.5744680851064,172.4407895562258,A,O2 conc.A [nmol/mL],dataset_III,
220.531914893617,172.606721464626,A,O2 conc.A [nmol/mL],dataset_III,
221.4893617021277,172.0148982914832,A,O2 conc.A [nmol/mL],dataset_III,
222.4468085106383,172.5412078537529,A,O2 conc.A [nmol/mL],dataset_III,
223.4042553191489,172.2841611058537,A,O2 conc.A [nmol/mL],dataset_III,
224.3617021276596,172.412287821074,A,O2 conc.A [nmol/mL],dataset_III,
225.3191489361702,172.4589877823787,A,O2 conc.A [nmol/mL],dataset_III,
226.2765957446809,172.5156562446296,A,O2 conc.A [nmol/mL],dataset_III,
227.2340425531915,172.6972945062368,A,O2 conc.A [nmol/mL],dataset_III,
228.1914893617021,172.8513174750495,A,O2 conc.A [nmol/mL],dataset_III,
229.1489361702128,172.5373854690683,A,O2 conc.A [nmol/mL],dataset_III,
230.1063829787234,172.8737259223962,A,O2 conc.A [nmol/mL],dataset_III,
231.0638297872341,172.3142287100392,A,O2 conc.A [nmol/mL],dataset_III,
232.0212765957447,172.5046544208324,A,O2 conc.A [nmol/mL],dataset_III,
232.9787234042553,172.5687456334448,A,O2 conc.A [nmol/mL],dataset_III,
233.9361702127659,172.2842648110413,A,O2 conc.A [nmol/mL],dataset_III,
234.8936170212766,171.9862919540333,A,O2 conc.A [nmol/mL],dataset_III,
235.8510638297872,171.8481464546173,A,O2 conc.A [nmol/mL],dataset_III,
236.8085106382979,171.8667768440988,A,O2 conc.A [nmol/mL],dataset_III,
237.7659574468085,171.9360677696239,A,O2 conc.A [nmol/mL],dataset_III,
238.7234042553191,171.5263433907325,A,O2 conc.A [nmol/mL],dataset_III,
239.6808510638298,171.6226595337797,A,O2 conc.A [nmol/mL],dataset_III,
240.6382978723404,171.53024425783,A,O2 conc.A [nmol/mL],dataset_III,
241.5957446808511,171.5995558693939,A,O2 conc.A [nmol/mL],dataset_III,
242.5531914893617,171.4117238581859,A,O2 conc.A [nmol/mL],dataset_III,
243.5106382978723,171.3401998172599,A,O2 conc.A [nmol/mL],dataset_III,
244.468085106383,170.9808968943746,A,O2 conc.A [nmol/mL],dataset_III,
245.4255319148936,171.0047325682935,A,O2 conc.A [nmol/mL],dataset_III,
246.3829787234042,171.1257573943093,A,O2 conc.A [nmol/mL],dataset_III,
247.3404255319149,171.1956381466964,A,O2 conc.A [nmol/mL],dataset_III,
248.2978723404255,170.3999513486499,A,O2 conc.A [nmol/mL],dataset_III,
249.2553191489362,170.985579055046,A,O2 conc.A [nmol/mL],dataset_III,
250.2127659574468,170.8359066127036,A,O2 conc.A [nmol/mL],dataset_III,
251.1702127659574,170.5870761850322,A,O2 conc.A [nmol/mL],dataset_III,
252.1276595744681,170.3501520293885,A,O2 conc.A [nmol/mL],dataset_III,
253.0851063829787,170.0978322740188,A,O2 conc.A [nmol/mL],dataset_III,
254.0425531914894,170.4330822591347,A,O2 conc.A [nmol/mL],dataset_III,
255.0,170.4508980718673,A,O2 conc.A [nmol/mL],dataset_III,
255.9574468085106,170.3034930896701,A,O2 conc.A [nmol/mL],dataset_III,
256.9148936170213,170.0741073218049,A,O2 conc.A [nmol/mL],dataset_III,
257.8723404255319,169.7269207144641,A,O2 conc.A [nmol/mL],dataset_III,
258.8297872340426,169.2277381778947,A,O2 conc.A [nmol/mL],dataset_III,
259.7872340425532,169.4209450704152,A,O2 conc.A [nmol/mL],dataset_III,
260.7446808510638,169.4784170500772,A,O2 conc.A [nmol/mL],dataset_III,
261.7021276595744,168.8844468698808,A,O2 conc.A [nmol/mL],dataset_III,
262.6595744680851,169.1975560621931,A,O2 conc.A [nmol/mL],dataset_III,
263.6170212765958,169.0984794852201,A,O2 conc.A [nmol/mL],dataset_III,
264.5744680851064,169.0572619801253,A,O2 conc.A [nmol/mL],dataset_III,
265.531914893617,168.4794594769954,A,O2 conc.A [nmol/mL],dataset_III,
266.4893617021277,168.50230087622,A,O2 conc.A [nmol/mL],dataset_III,
267.4468085106383,168.4508551526418,A,O2 conc.A [nmol/mL],dataset_III,
